Graduação,Pós-Graduação,UsoR,UsoSoftEstatistico,UsoSoftPlanilha,UsoLingProgramacao,UsoSoftEducacional
Matemática,PosEmEstatistica_Não,UsoR_Sim,UsoSoftEstatistico_Não,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Matemática,PosEmEstatistica_Não,UsoR_Não,UsoSoftEstatistico_Não,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Sim
Matemática,PosEmEstatistica_Não,UsoR_Não,UsoSoftEstatistico_Não,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Matemática,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Não,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Sim
Estatística,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Matemática,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Estatística,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Não,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Matemática,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Não,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Economia,PosEmEstatistica_Não,UsoR_Não,UsoSoftEstatistico_Não,UsoSoftPlanilha_Não,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Matemática,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Estatística,PosEmEstatistica_Sim,UsoR_Não,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Sim
Estatística,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Engenharia,PosEmEstatistica_Não,UsoR_Sim,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Estatística,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Não,UsoSoftPlanilha_Sim,UsoLingProgramacao_Sim,UsoSoftEducacional_Não
Matemática,PosEmEstatistica_Não,UsoR_Sim,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Sim,UsoSoftEducacional_Não
Estatística,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Estatística,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Não,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Estatística,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Matemática,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Matemática,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Sim,UsoSoftEducacional_Não
Biologia,PosEmEstatistica_Não,UsoR_Não,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Estatística,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Matemática,PosEmEstatistica_Não,UsoR_Não,UsoSoftEstatistico_Não,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Sim
Estatística,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Não,UsoSoftPlanilha_Não,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Estatística,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Não,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Matemática,PosEmEstatistica_Não,UsoR_Sim,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Sim,UsoSoftEducacional_Não
Matemática,PosEmEstatistica_Sim,UsoR_Sim,UsoSoftEstatistico_Não,UsoSoftPlanilha_Sim,UsoLingProgramacao_Sim,UsoSoftEducacional_Não
Matemática,PosEmEstatistica_Não,UsoR_Sim,UsoSoftEstatistico_Não,UsoSoftPlanilha_Não,UsoLingProgramacao_Não,UsoSoftEducacional_Não
Estatística,PosEmEstatistica_Não,UsoR_Não,UsoSoftEstatistico_Sim,UsoSoftPlanilha_Sim,UsoLingProgramacao_Não,UsoSoftEducacional_Não
