DataHora,Idade,Sexo,TempoDocencia,CursoGraduacao,PosEmEstatistica,UsoR,UsoTinkerplots,UsoFathom,UsoExcel,UsoSPSS,UsoCODAP,UsoMinitab,UsoPython,UsoSigmaplot,UsoPSPP,NomeOutros1,UsoOutro1,NomeOutros2,UsoOutro2,NomeOutros3,UsoOutro3
18/11/2023 16:26:15,59,Feminino,2,Matemática e Ciências da Computação,Não,4,1,2,5,1,1,2,1,1,1,,,,,,
18/11/2023 16:31:42,56,Feminino,1,Licenciatura e Bacharelado em Matemática,Não,2,2,1,4,1,1,1,1,1,1,GeoGebra,5,Google sheet,5,,
20/11/2023 09:44:57,50,Masculino,0.5,Licenciatura em Matemática,Não,1,1,1,3,1,1,1,1,1,1,Google planilhas,5,,,,
20/11/2023 11:08:05,61,Feminino,33,Bacharelado e Licenciatura em Matemática,Sim,5,1,1,5,2,1,2,1,1,1,GeoGebra,5,Google Planilha,5,,
20/11/2023 12:40:31,38,Feminino,13,Estatística,Sim,5,1,1,3,3,1,2,,1,1,,,,,,
20/11/2023 13:50:23,39,Feminino,10,Matemática,Sim,3,1,1,4,3,1,1,2,1,1,,,,,,
20/11/2023 16:07:42,63,Masculino,33,Bacharelado em Estatística,Sim,3,1,1,3,2,1,2,1,1,1,,,,,,
20/11/2023 21:31:35,43,Masculino,15,Matemática Aplicada,Sim,5,1,1,3,2,1,1,2,1,1,,,,,,
20/11/2023 22:04:58,45,Feminino,8,Economia,Não,,,,,,,,,,,,,,,,
20/11/2023 23:06:50,47,Masculino,21,Ciências e Licenciatura em Matemática,Sim,5,1,1,3,2,1,1,1,1,2,Bioestat,3,,,,
20/11/2023 23:35:41,67,Feminino,30,Estatística,Sim,1,2,1,5,5,1,2,1,1,1,Geogebra,3,,,,
21/11/2023 07:39:18,50,Feminino,26,Estatística,Sim,5,1,1,5,2,1,2,2,1,1,Jamovi,4,,,,
21/11/2023 07:57:36,65,Masculino,32,Engenharia,Não,5,,,4,3,,,,,,STATA,5,,,,
21/11/2023 10:04:38,60,Masculino,35,Estatística,Sim,4,1,1,4,2,1,2,3,1,1,Mathematica,4,,,,
21/11/2023 10:08:59,56,Masculino,4,Baacharelado em Matemática,Não,5,1,1,5,5,,1,1,1,1,scilab,5,matlab,5,,
21/11/2023 10:27:26,66,Masculino,43,Bacharelado em Estatística,Sim,4,1,1,5,1,1,1,1,1,1,BioEstat,4,,,,
21/11/2023 10:37:38,46,Feminino,17,Bacharelado em Estatística,Sim,4,1,1,3,1,1,1,1,1,,SAS,2,,,,
21/11/2023 10:53:56,49,Masculino,18,Bacharelado em Estatística,Sim,4,1,1,5,4,1,4,1,1,4,G*Power,4,Power Equilab,4,,
21/11/2023 10:57:16,42,Masculino,13,Bacharelado em Matemática,Sim,5,1,1,3,1,1,1,1,1,1,Jamovi,3,,,,
21/11/2023 11:49:26,36,Masculino,6,Matemática,Sim,3,2,2,4,3,2,4,4,2,2,Stata,4,Eviews,4,,
21/11/2023 13:08:42,77,Feminino,48,Ciências Biológicas,Não,1,1,1,5,5,1,1,1,1,2,"WinPEPI (Abramson, 2011) : http://www.brixtonhealth.com/",5,,,,
21/11/2023 14:23:38,51,Feminino,26,Estatística,Sim,4,1,1,4,2,1,3,1,1,1,,,,,,
21/11/2023 14:48:55,65,Feminino,20,Licenciatura em Matemática,Não,1,1,1,5,1,1,1,1,,1,GeoGebra,5,,,,
21/11/2023 14:48:58,60,Masculino,31,Estatística,Sim,5,1,1,2,1,1,1,1,1,1,,,,,,
21/11/2023 14:53:21,46,Masculino,12,Estatística,Sim,5,1,1,5,2,1,2,1,1,1,,,,,,
21/11/2023 14:55:05,33,Masculino,2,Matemática,Não,3,2,2,3,3,2,2,3,,3,,,,,,
21/11/2023 15:06:09,45,Masculino,20,Matemática,Sim,5,1,1,5,2,1,2,4,1,1,Compilador para C++,3,Compilador para Fortran,3,Matlab,4
21/11/2023 15:11:10,43,Masculino,10,Licenciatura em Matemática,Não,5,1,1,1,1,1,1,1,1,1,,,,,,
21/11/2023 15:11:41,42,Masculino,14,Estatística,Não,1,1,1,3,1,1,1,1,1,1,SAS,5,,,,
21/11/2023 15:34:07,43,Masculino,15,Bacharelado em Matemática,Sim,5,1,1,2,1,1,2,2,1,1,SAS,2,,,,
21/11/2023 15:46:52,37,Masculino,5,Economia,Sim,4,,,4,,,,1,,,,,,,,
21/11/2023 15:59:29,47,Feminino,18,Estatística,Sim,4,1,1,4,1,1,1,1,1,1,,,,,,
21/11/2023 16:33:58,46,Feminino,18,Estatística,Sim,5,1,1,2,1,1,1,1,1,1,OpenBugs,4,,,,
21/11/2023 17:02:28,39,Feminino,16,Estatística,Não,5,1,1,5,5,1,1,1,1,1,SAS,5,PSS Health,5,,
21/11/2023 17:10:38,43,Masculino,13,Estatística,Sim,5,1,1,4,1,1,1,2,1,1,,,,,,
21/11/2023 17:14:43,58,Masculino,25,Estatística,Sim,3,1,1,3,1,1,1,2,,1,Statistica,4,,,,
21/11/2023 17:15:33,44,Masculino,8,Engenharia Mecânica,Não,2,2,2,5,2,2,5,5,2,2,,,,,,
21/11/2023 17:39:11,60,Masculino,30,Bacharelado em Estatística,Sim,5,1,1,5,5,1,2,3,1,5,,,,,,
21/11/2023 17:42:41,40,Masculino,10,Bacharelado em Estatística e Licenciatura em Matemática,Sim,5,1,1,5,2,1,2,4,1,2,,,,,,
21/11/2023 17:51:59,44,Masculino,20,"Agronomia, Matemática e Física",Sim,5,1,1,2,1,1,1,1,1,1,,,,,,
21/11/2023 18:50:31,43,Masculino,19,Matemática e Ciências Sociais,Sim,5,1,1,4,1,1,1,1,1,1,,,,,,
21/11/2023 19:39:35,55,Masculino,15,Engenharia Geológica,Não,4,1,2,5,3,1,1,5,1,4,,,,,,
21/11/2023 20:03:58,65,Masculino,42,Engenharia Agronômica,Sim,5,1,1,5,2,1,2,1,1,1,Acton Stat,3,,,,
21/11/2023 20:45:20,41,Masculino,14,Estatística,Sim,5,1,1,3,1,1,1,4,1,1,,,,,,
21/11/2023 21:11:26,43,Masculino,11,Engenharia Agricola,Sim,5,,,,,,,,,,,,,,,
21/11/2023 21:31:38,61,Masculino,36,Estatística,Sim,5,1,1,4,2,1,3,4,2,1,SAS,4,SQL,4,,
21/11/2023 23:06:55,44,Masculino,2,Matemática,Não,1,1,1,5,1,1,1,1,1,1,miktek,5,,,,
22/11/2023 09:14:14,38,Feminino,11,Estatística,Sim,5,1,1,3,3,1,3,3,1,1,,,,,,
22/11/2023 09:18:35,65,Masculino,20,Matemática,Sim,1,1,1,5,2,1,1,1,1,1,,,,,,
22/11/2023 10:28:11,36,Feminino,10,Estatística,Sim,3,,,5,3,,,,,3,AgroEstat,5,,,,
22/11/2023 10:33:59,79,Feminino,53,Bacharelado e Licenciatura em Matemática,Sim,3,1,1,2,1,4,5,1,1,1,,,,,,
22/11/2023 10:57:45,42,Masculino,12,Estatística,Sim,5,1,1,3,1,1,1,3,1,1,Moodle,5,,,,
22/11/2023 11:06:25,64,Masculino,24,Estatística,Sim,4,1,1,2,2,1,1,1,1,1,,,,,,
22/11/2023 11:54:50,36,Feminino,10,Estatística,Sim,5,1,1,4,1,1,1,1,1,1,,,,,,
22/11/2023 12:08:07,44,Feminino,20,Estatística,Não,2,1,1,4,4,1,2,1,1,1,,,,,,
22/11/2023 12:33:11,48,Feminino,20,Bacharelado em Estatística,Sim,5,1,1,5,1,1,1,1,1,1,JASP,5,,,,
22/11/2023 12:45:55,44,Feminino,15,Estatística,Não,,,,5,3,,,,,,Google forms,5,Google classroon,5,,
22/11/2023 12:52:06,37,Masculino,11,Estatística,Sim,5,1,1,3,3,1,3,3,1,3,,,,,,
22/11/2023 13:21:54,42,Feminino,15,Estatística,Sim,5,1,1,5,1,1,4,1,1,1,,,,,,
22/11/2023 13:48:55,35,Masculino,9,Estatística,Sim,5,1,1,4,1,1,1,2,1,1,,,,,,
22/11/2023 14:35:49,58,Masculino,33,Matemática,Sim,5,1,1,4,1,1,1,1,1,1,,,,,,
22/11/2023 14:46:18,42,Masculino,1,Bacharelado em Física,Não,1,1,1,3,1,1,1,5,1,1,,,,,,
22/11/2023 14:56:39,54,Masculino,28,Engenharia Elétrica e Administração,Não,5,1,1,5,3,1,3,1,1,1,GPower,5,,,,
22/11/2023 15:18:32,49,Feminino,23,Bacharelado em Estatística,Sim,5,1,1,3,3,1,3,2,1,1,,,,,,
22/11/2023 16:24:41,46,Feminino,15,Matemática,Não,2,1,1,3,1,1,1,1,1,1,,,,,,
22/11/2023 17:06:29,37,Masculino,14,Matemática,Sim,3,1,1,1,1,1,1,1,1,1,,,,,,
22/11/2023 17:11:11,57,Feminino,33,Estatística,Sim,,,,4,,,,,,,Plataforma Moodle - Educação a Distância,5,,,,
22/11/2023 17:49:34,47,Masculino,20,Estatística,Não,5,1,1,3,2,1,2,3,1,3,Interface R Commander do R,4,Julia,1,Stata,2
22/11/2023 18:38:56,50,Masculino,19,Licenciatura em Matemática,Sim,4,,,,,,,,,,,,,,,
22/11/2023 19:34:37,35,Masculino,10,Estatística,Não,5,1,1,4,3,1,1,3,1,1,,,,,,
22/11/2023 20:04:41,45,Masculino,20,Estatística,Não,4,1,1,3,2,1,1,1,1,1,,,,,,
22/11/2023 20:35:27,41,Masculino,12,Matemática,Sim,5,1,1,4,1,1,1,4,1,1,Gretl,4,wolframalpha,4,,
22/11/2023 20:36:17,45,Masculino,13,Estatística,Sim,1,1,1,3,2,1,2,1,1,1,EViews,3,,,,
23/11/2023 09:07:33,65,Masculino,30,Matemática,Não,4,1,1,4,4,1,1,1,1,1,,,,,,
23/11/2023 10:20:09,52,Feminino,27,Estatística,Sim,4,,1,2,2,1,1,1,1,1,https://www.meta-calculator.com/statistics-calculator.php?panel-401-basic-stats-input,4,https://www.statskingdom.com/confidence-interval-calculators.html,4,,
23/11/2023 12:02:09,37,Masculino,5,Estatística,Sim,4,1,1,2,1,1,1,1,1,1,,,,,,
23/11/2023 14:32:41,48,Masculino,14,Matemática,Não,3,1,1,5,3,1,1,1,1,1,,,,,,
23/11/2023 14:32:53,56,Feminino,20,Engenharia Civil,Sim,5,,,,4,,4,3,,,"JAMOVI, como opção ao SPSS na área de humanas.",4,Origin para alunos da área de Engenharia de Materiais,4,"https://artofstat.com/ - não é software, mas é muito legal para usar na área de humanas nas aulas",4
23/11/2023 16:01:16,50,Feminino,5,Matemática,Não,3,1,1,5,1,1,2,1,1,1,,,,,,
23/11/2023 16:07:12,53,Feminino,25,Estatística,Não,4,1,1,5,5,1,1,1,1,1,Art of Stat (online),5,PSS Health (cálculo de tamanho de amostra),5,WinPepi,5
23/11/2023 16:22:39,33,Feminino,7,Estatística e Biotecnologia,Não,5,1,1,1,1,1,1,3,1,1,,,,,,
23/11/2023 17:37:57,44,Feminino,20,Estatística,Não,5,1,1,5,4,1,2,2,1,1,,,,,,
23/11/2023 17:53:13,71,Masculino,45,Licenciatura em Matemática,Sim,3,1,1,4,1,3,2,1,1,1,,,,,,
23/11/2023 18:25:23,49,Masculino,17,Licenciatura em Matemática,Sim,2,,,5,1,,2,1,,,Forecast Pro for Windows (FPW),5,CaterpillasSSA,5,"Gnu Regression, Econometrics and Time-series Library (GRETL)",5
24/11/2023 06:07:35,54,Masculino,26,Estatística,Sim,5,1,1,4,2,1,3,1,1,1,"Office (Word, Excel, Powerpoint)",5,Libreoffice,5,,
24/11/2023 14:39:51,26,Masculino,0.5,Estatística,Sim,4,1,1,2,1,1,1,1,1,1,Geogebra,1,,,,
24/11/2023 16:16:06,33,Feminino,9,Estatística,Sim,5,1,1,4,1,,1,,1,1,,,,,,
24/11/2023 18:27:11,47,Feminino,20,Matemática,Sim,5,1,1,5,4,1,3,1,1,1,,,,,,
25/11/2023 21:53:36,55,Masculino,30,Estatística,Não,4,1,1,5,4,1,1,2,1,1,,,,,,
26/11/2023 16:34:04,42,Feminino,7,Bacharelado em Estatística,Sim,5,1,1,3,1,1,1,1,1,1,Stan mas com interface via R,3,,,,
26/11/2023 17:47:04,38,Masculino,11,"Administração, Matemática",Sim,5,1,1,3,1,1,1,4,1,1,,,,,,
27/11/2023 08:19:59,33,Feminino,5,Licenciatura em Matemática e Biomedicina,Não,5,1,1,2,1,1,1,1,1,1,"Plicker (não é estatístico, mas uso para revisar os conceitos ensinados).",5,,,,
27/11/2023 10:38:36,50,Masculino,20,Pedagogia,Não,2,1,1,5,1,1,1,2,1,1,,,,,,
27/11/2023 11:04:45,42,Masculino,10,Economia,Não,2,1,1,4,4,1,1,1,1,1,Stata,5,Eviews,5,Gretl,5
27/11/2023 11:15:37,57,Masculino,34,Economia,Não,4,1,1,4,1,1,1,4,1,1,,,,,,
27/11/2023 12:44:36,34,Masculino,5,Medicina Veterinária,Não,,,,5,5,,,,,,Bioestat,5,,,,
27/11/2023 13:09:24,36,Feminino,1,Engenharia de Agronegócios,Não,2,1,1,5,3,1,1,2,1,1,,,,,,
27/11/2023 13:11:18,36,Masculino,2,Fisioterapia,Não,5,1,1,5,2,1,1,3,1,1,,,,,,
27/11/2023 13:36:12,36,Feminino,4,Zootecnia,Não,4,1,1,5,1,1,1,1,1,1,,,,,,
27/11/2023 13:45:41,59,Masculino,20,Pedagogia,Não,4,4,4,5,4,4,4,4,2,4,,,,,,
27/11/2023 13:54:46,41,Masculino,2,Ciência da Computação,Não,2,1,1,2,1,1,1,5,1,1,Google Colab,5,,,,
27/11/2023 14:03:46,57,Masculino,20,Matemática,Não,5,1,1,5,3,1,3,5,1,1,,,,,,
27/11/2023 14:50:01,34,Feminino,3,Bacharelado em Engenharia Florestal,Não,5,1,1,5,2,1,1,1,3,1,Sisvar,4,Systat,4,Statistica,4
27/11/2023 15:19:35,43,Masculino,12,Engenharia Elétrica,Não,4,1,1,1,1,1,1,4,1,1,,,,,,
